product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
MALKIY SOFA,MALKIY SOFA,upholstery,Sofas,"
				<p></p><p></p>



MALKIY Sofa was named after a king and priest mentioned in the Book of Genesis whose name means justice and king of righteousness. This tuxedo red velvet sofa has legs in aged golden leaf, making it the perfect addition to a modern classic living room set. The MALKIY Tuxedo Velvet Sofa is sure to make a statement in any room it is in.



<br><p></p>			",https://www.brabbu.com/resources/images/products/149/gallery/malkiy-louge-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,,,https://www.brabbu.com/product/upholstery/malkiy/sofa/,20/04/2023,brabbu
OTTAWA SOFA,OTTAWA SOFA,upholstery,Sofas,"
				<p></p><p></p>



Known as traders, the Ottawa is a Native American tribe from Manitoulin Island. This tribe inspired the creation of OTTAWA Sofa. Featuring synthetic leather upholstery and a frame bordered with bronze polished nails, this camelback sofa will give a contemporary touch to any room. The OTTAWA is a modern contemporary three seater black sofa making it the perfect addition to your living room design.



<br><p></p>			",https://www.brabbu.com/resources/images/products/153/gallery/ottawa-3-seater-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,,,https://www.brabbu.com/product/upholstery/ottawa/sofa/,20/04/2023,brabbu
PLUM SOFA,PLUM SOFA,upholstery,Sofas,"
				<p></p><p></p>



PLUM is a throwback to the past with a contemporary touch. This fully upholstered leather sofa celebrates grandeur and opulence highlighted by the synthetic leather that surrounds it. The PLUM Leather Sofa will add a sophisticated feel as well as an extra touch of elegance to any modern living room set.



<br><p></p>			",https://www.brabbu.com/resources/images/products/155/gallery/plum-sofa-1.jpg,,,,,,,,,,,,https://www.brabbu.com/product/upholstery/plum/sofa/,20/04/2023,brabbu
SAARI SOFA,SAARI SOFA,upholstery,Sofas,"
				<p>&nbsp;</p><p>&nbsp;</p><p>The Northern Lights are one of the most mesmerising natural phenomena in the world. Its beauty inspired our designers to create SAARI Sofa. Upholstered in cotton velvet and with a base in brushed aged brass matte, this blue lounge sofa will bring comfort and elegance to any living room set.&nbsp;<br>&nbsp;</p><p>&nbsp;</p>			",https://www.brabbu.com/resources/images/products/157/gallery/saari-velvet-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,,,https://www.brabbu.com/product/upholstery/saari/sofa/,20/04/2023,brabbu
DAKOTA SINGLE SOFA,DAKOTA SINGLE SOFA,upholstery,Sofas,"
				<p>

</p><p></p>



The Dakota is a Native American tribe, they compose two of the three main subcultures of the Sioux people, and are typically divided into the Eastern Dakota and Western Dakota. BRABBU´s passion for the worldwide cultures aroused the desire to create DAKOTA Velvet Single Sofa, as a homage to this North-American indigenous tribe.



<br><p></p>			",https://www.brabbu.com/resources/images/products/168/gallery/dakota-single-sofa-1.jpg,,,,,,,,,,,"
					In Stock				",https://www.brabbu.com/product/upholstery/dakota/single-sofa/,20/04/2023,brabbu
OREAS SINGLE SOFA,OREAS SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>



According to Greek mythology, Oreas is the God of the mountains. OREAS Single Sofa pays tribute to it. This channel-tufted single sofa is fully upholstered in soft cotton velvet, making it the perfect addition to any modern home design be it a living room, reading corner or even bedroom.



<br><p></p>			",https://www.brabbu.com/resources/images/products/152/gallery/oreas-single-sofa1.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa2.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,,,https://www.brabbu.com/product/upholstery/oreas/single-sofa/,20/04/2023,brabbu
OTTER SINGLE SOFA,OTTER SINGLE SOFA,upholstery,Sofas,"
				<p>



Otters are known for being playful animals, with a high capacity to adapt to the environment. Inspired by the nature of this animal, the OTTER Single Sofa can adapt to any room and be an integral part of your interior design. This round shaped single sofa transmit both comfort and elegance, in any modern home decor.



<br></p>			",https://www.brabbu.com/resources/images/products/673/gallery/OTTER_SINGLE_SOFA_1.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_2.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,,,https://www.brabbu.com/product/upholstery/otter/single-sofa/,20/04/2023,brabbu
PLUM SINGLE SOFA,PLUM SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>





PLUM is a throwback to the past with a contemporary touch. This fully upholstered Single Sofa celebrates grandeur and opulence highlighted by the synthetic leather that surrounds it. Place it in a modern living room and this leather single sofa will instantly add a sophisticated feel.




<br><p></p>			",https://www.brabbu.com/resources/images/products/170/gallery/plum-single-sofa-540x505-1.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-2.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,,,https://www.brabbu.com/product/upholstery/plum/single-sofa/,20/04/2023,brabbu
WALES SINGLE SOFA,WALES SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>



Often called the “Land of Castles”, Wales has some of the most impressive monuments of the Middle Ages. WALES Single Sofa pays tribute to the country’s history. Upholstered in cotton velvet and with a base in matte vintage brass, this curved velvet single sofa features a golden polished nailhead trim that makes it even more elegant.



<br><p></p>			",https://www.brabbu.com/resources/images/products/171/gallery/wales-single-sofa-mid-century-furniture-1.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-2.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,,,https://www.brabbu.com/product/upholstery/wales/single-sofa/,20/04/2023,brabbu
BEGONIA 2 SEAT SOFA,BEGONIA 2 SEAT SOFA,upholstery,Sofas,"
				<p>



Begonia is a beautiful flower from tropical countries. Inspired by its warm energies and the bold shape of its petals, our designers conceived BEGONIA 2 Seat Sofa. Its charming curves and soft cotton velvet upholstery make this the perfect curved back two seat sofa for an elegant modern interior design.

 

<br></p>			",https://www.brabbu.com/resources/images/products/737/gallery/BEGONIA_2_SEAT_SOFA.jpg,,,,,,,,,,,,https://www.brabbu.com/product/upholstery/begonia/2-seat-sofa/,20/04/2023,brabbu
