product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
HORUS PLAFONIER,HORUS PLAFONIER,lighting,Plafonier,"
				<p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div></div></div></div><div>			<div>				<div>					<p></p><div><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div><p></p><div><div><div><div><p></p></div></div></div></div><div><div><div><div><p></p></div></div></div></div>

</div></div></div></div>

Just like the God of the sky and the rising sun, HORUS Plafonier Light promises to be a reference in modern interior design. Featuring a round structure in matte brass and shaders in crackle glass, this round plafonier is perfect for creating a special reveal over a fierce living room sofa.

<br><p></p>				</div>			</div>		</div>	 	 <br><p></p>			",https://www.brabbu.com/resources/images/products/656/gallery/HORUS_SUSPENSION-II_1.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_2.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.brabbu.com/resources//images/products/656/gallery/previews/HORUS_3.jpg,https://www.youtube.com/embed/e4bFgpOj-RQ?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH&nbsp; 80 cm | 31,49”<div>HEIGHT 25 cm | 9,84”<br>


<br><div>MATERIALS</div><div>STRUCTURE&nbsp;

in matte brass and crackle glass.<b></b>

</div><div>


<br>
	
&nbsp;</div></div>                        ",https://www.brabbu.com/product/lighting/horus/plafonier/,02/05/2023,brabbu
NAICCA PLAFONIER,NAICCA PLAFONIER,lighting,Plafonier,"
				<p>

The allure of Mexico’s Giant Crystal Cave was the inspiration for NAICCA Plafonier, representing the legend of crystal origins. The structure in glossy aged brass and the Quartz crystal diffuser merge to brighten any home decor, filling the room with a strong and peaceful atmosphere. This round brass plafonier is the perfect addition to your modern home decor.

<br></p>			",https://www.brabbu.com/resources/images/products/693/gallery/540X505-1.jpg,https://www.brabbu.com/resources//images/products/693/gallery/previews/167x93-2.jpg,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        <p>

</p><p>DIMENSIONS</p><p>Diameter: 70 cm | 27,57""</p><p>Height: 18 cm | 7,09""</p><p><br></p><p>MATERIALS</p><p>Structure in glossy aged brushed brass</p><p>Diffuser in quartz crystal</p>

<br><p></p>                        ",https://www.brabbu.com/product/lighting/naicca/plafonier/,02/05/2023,brabbu
NIKU PENDANT LIGHT,NIKU PENDANT LIGHT,lighting,Pendant Lights,"
				<p>



Part of the Kiribati islands group, Nikumaroro is known for its incredible coral atoll. It is the beauty of its corals that make NIKU Pendant Light a rarity in contemporary lighting. Featuring a structure in gold plated brass, shaders in gold plated brass and glass, this modern pendant light will fill any home decor with exoticism.



<br></p>			",https://www.brabbu.com/resources/images/products/684/gallery/niku-pendant-1.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-3.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.brabbu.com/resources//images/products/684/gallery/previews/niku-pendant-4.jpg,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,In Stock,"
                        DIMENSIONS<br>DIAMETER 7 cm | 2,76”<br>HEIGHT 130 cm | 51,18”<br><br><div>MATERIALS<br>STRUCTURE&nbsp;in gold plated brass, shaders in gold plated brass and glass.</div><div><br></div><div>TECHNICAL SPECIFICATIONS<br>BULB HOLDERS 1 x G9 (EU/UK), G9 (USA) bulb<br>VOLTAGE 220 V - 240 V<br>WATTAGE 40 watts per bulb<br>WEIGHT 6 kg | 13,23 lb<div></div></div>                        ",https://www.brabbu.com/product/lighting/niku/pendant-light/,02/05/2023,brabbu
NAICCA PENDANT LIGHT,NAICCA PENDANT LIGHT,lighting,Pendant Lights,"<p></p><p></p>



The allure of Mexico’s Giant Crystal Cave was the inspiration for the NAICCA Pendant Light, a single pendant that represents the legend of crystal origins. The aged brushed brass structure and the Quartz crystal diffuser merge to brighten any home decor, hanging pendant light will fill the room with a strong and peaceful atmosphere.



<br><p></p>",https://www.brabbu.com/resources/images/products/355/gallery/2.jpg,,,,,,,,,,https://www.youtube.com/embed/sy7dce-fU6E?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,"<span><p>

DIMENSIONS</p><div>Diameter 25 cm | 9,8”<br>Height 30 cm | 11,8”<br></div><div><br></div><div>MATERIALS</div><div>STRUCTURE&nbsp;

in glossy aged brushed brass and diffuser in quartz crystal.<b></b>

</div></span>",https://www.brabbu.com/home/product/lighting/naicca/pendant-light,02/05/2023,brabbu
SAKI PENDANT LIGHT,SAKI PENDANT LIGHT,lighting,Pendant Lights,"
				<p></p><p></p>



Located in Japan, Sakishima Islands are part of the Ryukyu Islands chain. SAKI Pendant Light is a tribute to this unforgettable island group. This glossy brass pendant light is a remarkable lighting product that will create a warm and cosy modern interior design with an exotic touch.



<br><p></p>			",https://www.brabbu.com/resources/images/products/105/gallery/saki-brass-pendant-light-contemporary-lighting-design-1.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-2.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.brabbu.com/resources//images/products/105/gallery/previews/saki-brass-pendant-light-contemporary-lighting-design-3.jpg,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,In Stock,"
                        DIMENSIONS<br>Width 18 cm | 7,1""<br>Depth 12 cm | 4,7""<br>Height 60 cm | 23,62""<div><br>MATERIALS<br>STRUCTURE&nbsp;<b></b>in glossy brass.<b></b>

</div>                        ",https://www.brabbu.com/product/lighting/saki/pendant-light/,02/05/2023,brabbu
IKE PENDANT LIGHT,IKE PENDANT LIGHT,lighting,Pendant Lights,"<p>This hanging light can be done in different shapes and dimensions, allowing you to personalized lighting ambiance and mood. Handmade in brass and aluminum, the glossy black finish and the copper accent deliver the perfect look. Ideal for industrial kitchens, dining rooms, restaurants, and bars, this copper pendant light also looks great as bathroom pendant lighting with mid-century modern decor. Therefore, Ike fits practically in every style, due to its sleek shape and minimalist design.</p>",https://www.brabbu.com/resources/images/products/807/gallery/01.jpg,https://www.brabbu.com/resources/images/products/807/gallery/02.jpg,https://www.brabbu.com/resources/images/products/807/gallery/03.jpg,https://www.brabbu.com/resources/images/products/807/gallery/04.jpg,,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/lighting/ike/pendant-light,02/05/2023,brabbu
MCQUEEN PENDANT LIGHT,MCQUEEN PENDANT LIGHT,lighting,Pendant Lights,<p>The McQueen pendant light presents a dramatic design tied by a simple string. Showing in all its details a contemporary romantic nature. Creates a boast and dainty ambience.</p>,https://www.brabbu.com/resources/images/products/796/gallery/01.jpg,,,,,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/lighting/mcqueen/pendant-light,02/05/2023,brabbu
CYBO WALL LIGHT,CYBO WALL LIGHT,lighting,Wall Lights,"<p></p><p></p>



In Ancient Rome, the marble quarries were managed by the Cybo and Malaspina families who ruled over Massa and Carrara. This inspired the creation of CYBO Single Cylinder Wall Light. A masterpiece featuring a structure in matte brass and a base in Carrara marble or walnut wood. It is the perfect wall light design to create a cosy and magnificent ambience.



<br><p></p>",https://www.brabbu.com/resources/images/products/91/gallery/cybo-wall-4.jpg,https://www.brabbu.com/resources/images/products/91/gallery/cybo-wall-4.jpg,https://www.brabbu.com/resources/images/products/91/gallery/cybo-wall-5.jpg,https://www.brabbu.com/resources/images/products/91/gallery/cybo-wall-1.jpg,https://www.brabbu.com/resources/images/products/91/gallery/cybo-wall-2.jpg,,,,,,https://www.youtube.com/embed/s8fB3VwCTew?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,"<span>DIMENSIONS<br>Width 7 cm | 2,8”<br>Depth 11,5 cm | 4,5”<br>Height 62,5 cm | 24,6”<div><br>MATERIALS<br>STRUCTURE&nbsp;in matte brass and Carrara marble.<b></b>

</div></span>",https://www.brabbu.com/home/product/lighting/cybo/wall-light,02/05/2023,brabbu
ECLIPSE WALL LIGHT,ECLIPSE WALL LIGHT,lighting,Wall Lights,"
				<p></p><p></p>



The exact moment when both the sun and the moon collide in a perfectly choreographed intersection inspired the creation of ECLIPSE Wall Light. Featuring a hammered aged brass structure with matte varnish, this sconce is the symbol of variation between light and darkness, thus being the ideal modern wall light for the living room.



<br><p></p>			",https://www.brabbu.com/resources/images/products/92/gallery/eclipse-wall-light-contemporary-lighting-design-by-brabbu-1.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/92/gallery/previews/eclipse-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.youtube.com/embed/QzumsjkSs3k?rel=0,In Stock,"
                        <div>DIMENSIONS<br>Width 17 cm | 6,7""</div><div>Depth 18 cm | 7,1""<br>Height 59 cm | 23,23""</div><div><br>MATERIALS<br>STRUCTURE in&nbsp;hammered aged brass with matte varnish.
</div><div>
<br></div>                        ",https://www.brabbu.com/product/lighting/eclipse/wall-light/,02/05/2023,brabbu
FOLIO WALL LIGHT,FOLIO WALL LIGHT,lighting,Wall Lights,"
				<p></p><p></p>



The parchments used by old civilisations thousands of years ago were recreated through FOLIO Wall Light. Featuring a structure in hammered aged brushed brass with matte varnish, this brass wall light will enhance any modern interior design in a fascinating way.



<br><p></p>			",https://www.brabbu.com/resources/images/products/93/gallery/folio-wall-light-contemporary-lighting-design-by-brabbu-1.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-2.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.brabbu.com/resources//images/products/93/gallery/previews/folio-wall-light-contemporary-lighting-design-by-brabbu-3.jpg,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,In Stock,"
                        DIMENSIONS<br>Width 18 cm | 9,2""<br>Depth 8,5 cm | 4,1""<br>Height 59 cm | 21,8""<div><br>MATERIALS<br>STRUCTURE in hammered aged brushed brass with matte varnish.<b></b>

</div>                        ",https://www.brabbu.com/product/lighting/folio/wall-light/,02/05/2023,brabbu
